resp_cases
13307
15555
10997
12111
15058
9897
11928
13689
10058
13281
10205
10594
12465
14363
9704
10282
13579
9932
9705
12547
9026
11715
10451
10098
11983
14401
9167
9262
13156
9634
10559
13251
9143
9884
8652
9134
11696
14298
9543
10014
14312
10238
9522
13213
10768
12881
10337
9531
11436
16188
10210
9807
13625
10925
12922
14826
9770
12069
10458
9555
11647
16190
11565
12578
17278
10485
12513
13816
10218
14773
11547
10953
15466
18541
11309
11955
15567
10688
12792
14104
10927
14182
13274
12129
13568
16306
11108
11662
15695
11402
13040
13864
9963
14614
12338
12779
14946
16968
9575
5579
2954
2744
3102
3687
3851
4561
3158
3180
